date,time_utc,station_id,station_name,latitude,longitude,elevation_m,temperature_c,temperature_f,feels_like_c,dew_point_c,humidity_pct,pressure_station_hpa,pressure_sea_level_hpa,pressure_trend,wind_speed_kmh,wind_direction_deg,wind_direction_cardinal,wind_gust_kmh,visibility_km,cloud_cover_pct,cloud_ceiling_m,precipitation_type,precipitation_mm,snow_depth_cm,precipitation_prob_pct,uv_index,solar_radiation_wm2,weather_condition,weather_code,air_quality_index,pm2_5_ugm3,pm10_ugm3,ozone_ppb,no2_ppb,co_ppm,sunrise_utc,sunset_utc,daylight_hours,soil_temp_c,soil_moisture_pct,evapotranspiration_mm
2022-12-29,16:11,TPA001,Tampa - Intl,27.9755,-82.5332,9,18.6,65.5,18.6,10.6,60,1011.6,1012.7,steady,20.7,344,NNW,41.3,13.8,61,600,none,0.0,0.0,11,5.1,543.4,Mostly Cloudy,103,184,43.9,69.1,77.2,61.0,2.1,08:00,16:00,8,16.1,8.7,3.23
2022-12-29,23:50,PHX001,Phoenix - Sky Harbor,33.4373,-112.0078,337,3.2,37.8,3.2,2.2,95,967.2,1006.9,rising,4.1,42,NE,4.1,2.1,90,6000,none,0.0,0.0,3,0,0,Overcast,104,8,2.8,9.7,13.2,71.7,1.96,08:00,16:00,8,2.1,31.1,1.86
2022-12-30,00:12,MSY001,New Orleans - Moisant,29.9934,-90.258,3,12.5,54.5,12.5,8.7,81,1016.9,1017.3,rising,3.9,298,WNW,3.9,18.4,73,300,none,0.0,0.0,36,0,0,Mist,109,215,57.6,90.8,82.9,69.3,2.01,08:00,16:00,8,9.0,19.0,2.23
2022-12-30,02:32,LAS001,Las Vegas - McCarran,36.084,-115.1537,664,2.9,37.2,-0.7,-11.7,27,931.2,1008.2,rising,14.0,148,SSE,14.6,14.5,30,,none,0.0,0.0,66,0,0,Fog,105,85,27.6,44.1,26.5,46.1,2.67,08:00,16:00,8,-0.5,30.4,3.42
2022-12-30,12:16,BOS001,Boston - Logan,42.3656,-71.0096,9,20.3,68.5,20.3,9.3,45,1016.7,1017.8,falling rapidly,4.8,319,NW,4.8,22.6,20,,none,0.0,0.0,69,9.3,877.4,Mostly Clear,101,118,34.0,59.3,12.0,74.4,0.44,08:00,16:00,8,16.6,45.2,2.84
2022-12-31,01:13,PDX001,Portland - Intl,45.5898,-122.5951,9,9.7,49.5,7.0,-5.7,23,1010.6,1011.7,falling,19.8,218,SW,26.2,18.0,59,150,none,0.0,0.0,21,0,0,Mostly Clear,101,162,40.1,65.4,21.0,61.6,2.31,08:00,16:00,8,8.6,7.5,0.58
2022-12-31,01:29,DTW001,Detroit - Metro Wayne,42.2162,-83.3554,195,4.1,39.4,4.1,-10.1,29,984.8,1007.9,steady,2.4,308,NW,2.4,1.9,24,,rain,39.7,0.0,71,0,0,Drizzle,113,81,18.8,24.7,31.0,26.0,0.76,08:00,16:00,8,1.4,47.7,2.94
2022-12-31,11:10,MKE001,Milwaukee - Mitchell,42.9472,-87.8966,211,17.4,63.3,17.4,0.6,16,990.3,1015.5,falling,22.6,326,NW,46.9,17.4,37,3000,hail,58.8,0.0,53,7.5,734.3,Hail,140,74,16.8,23.3,64.6,33.3,0.55,08:00,16:00,8,12.8,44.5,1.14
2022-12-31,16:00,LAX001,Los Angeles - Downtown,34.0522,-118.2437,71,19.6,67.3,19.6,18.8,96,997.0,1005.5,falling,14.6,10,N,34.8,15.4,72,900,thunderstorm,54.2,0.0,92,4.5,500.4,Thunderstorm,150,31,10.5,15.5,74.9,28.9,0.1,08:00,16:00,8,15.8,28.7,1.73
2022-12-31,16:25,NYC001,New York - Central Park,40.7829,-73.9654,39,13.6,56.5,13.6,-1.2,26,1012.8,1017.5,steady,1.3,196,SSW,1.3,3.8,79,6000,hail,35.3,0.0,100,4.1,473.0,Small Hail,142,196,48.1,80.5,27.0,39.6,0.62,08:00,16:00,8,10.3,9.6,0
